"","season","yr","mnth","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","cnt"
"39","season1",0,2,"nonholiday","Tue","workingday","weather1","lowtemp2",0.198246,"highhum1","highwind2",64,1466,1530
"40","season1",0,2,"nonholiday","Wed","workingday","weather2","lowtemp2",0.144283,"lowhum1","highwind1",53,1552,1605
"41","season1",0,2,"nonholiday","Thu","workingday","weather1","lowtemp2",0.149548,"lowhum1","highwind1",47,1491,1538
"42","season1",0,2,"nonholiday","Fri","workingday","weather1","lowtemp2",0.213509,"highhum1","lowwind2",149,1597,1746
"43","season1",0,2,"nonholiday","Sat","nonworkingday","weather1","lowtemp2",0.232954,"highhum1","highwind1",288,1184,1472
"44","season1",0,2,"nonholiday","Sun","nonworkingday","weather1","lowtemp2",0.324113,"lowhum1","highwind2",397,1192,1589
"45","season1",0,2,"nonholiday","Mon","workingday","weather1","lowtemp1",0.39835,"lowhum1","highwind2",208,1705,1913
"46","season1",0,2,"nonholiday","Tue","workingday","weather1","lowtemp2",0.254274,"lowhum2","highwind2",140,1675,1815
"47","season1",0,2,"nonholiday","Wed","workingday","weather1","lowtemp2",0.3162,"lowhum1","highwind2",218,1897,2115
"48","season1",0,2,"nonholiday","Thu","workingday","weather1","lowtemp1",0.428658,"highhum1","highwind1",259,2216,2475
"49","season1",0,2,"nonholiday","Fri","workingday","weather1","hightemp1",0.511983,"highhum1","highwind2",579,2348,2927
"50","season1",0,2,"nonholiday","Sat","nonworkingday","weather1","lowtemp1",0.391404,"lowhum2",NA,532,1103,1635
"51","season1",0,2,"nonholiday","Sun","nonworkingday","weather1","lowtemp2",0.27733,"lowhum1","highwind1",639,1173,1812
"52","season1",0,2,"holiday","Mon","nonworkingday","weather2","lowtemp2",0.284075,"highhum1","highwind2",195,912,1107
"53","season1",0,2,"nonholiday","Tue","workingday","weather1","lowtemp2",0.186033,"highhum1","highwind1",74,1376,1450
"54","season1",0,2,"nonholiday","Wed","workingday","weather1","lowtemp2",0.245717,"lowhum1","lowwind2",139,1778,1917
"55","season1",0,2,"nonholiday","Thu","workingday","weather2","lowtemp2",0.289191,"highhum2","highwind2",100,1707,1807
"56","season1",0,2,"nonholiday","Fri","workingday","weather2","lowtemp1",0.350461,"highhum2","highwind2",120,1341,1461
"57","season1",0,2,"nonholiday","Sat","nonworkingday","weather1","lowtemp2",0.282192,"highhum1","highwind1",424,1545,1969
"58","season1",0,2,"nonholiday","Sun","nonworkingday","weather1","lowtemp1",0.351109,"highhum2","lowwind2",694,1708,2402
"59","season1",0,2,"nonholiday","Mon","workingday","weather2","lowtemp1",0.400118,NA,"highwind2",81,1365,1446
"60","season1",0,3,"nonholiday","Tue","workingday","weather1","lowtemp2",0.263879,"highhum1","highwind1",137,1714,1851
"61","season1",0,3,"nonholiday","Wed","workingday","weather1","lowtemp2",0.320071,"lowhum1","highwind2",231,1903,2134
"62","season1",0,3,"nonholiday","Thu","workingday","weather1","lowtemp2",0.200133,"lowhum2","highwind1",123,1562,1685
"63","season1",0,3,"nonholiday","Fri","workingday","weather2","lowtemp2",0.255679,"highhum1","highwind1",214,1730,1944
"64","season1",0,3,"nonholiday","Sat","nonworkingday","weather2","lowtemp1",0.378779,"highhum2","highwind2",640,1437,2077
"65","season1",0,3,"nonholiday","Sun","nonworkingday","weather2","lowtemp1",0.366252,NA,"highwind2",114,491,605
"66","season1",0,3,"nonholiday","Mon","workingday","weather1","lowtemp2",0.238461,"highhum1","highwind2",244,1628,1872
"67","season1",0,3,"nonholiday","Tue","workingday","weather1","lowtemp2",0.3024,"lowhum1","lowwind2",316,1817,2133
"68","season1",0,3,"nonholiday","Wed","workingday","weather2","lowtemp2",0.286608,"highhum2","highwind1",191,1700,1891
"69","season1",0,3,"nonholiday","Thu","workingday","weather3","lowtemp1",0.385668,NA,"highwind2",46,577,623
"70","season1",0,3,"nonholiday","Fri","workingday","weather2","lowtemp2",0.305,"highhum1","highwind1",247,1730,1977
"71","season1",0,3,"nonholiday","Sat","nonworkingday","weather1","lowtemp2",0.32575,"highhum1","highwind1",724,1408,2132
"72","season1",0,3,"nonholiday","Sun","nonworkingday","weather1","lowtemp1",0.380091,"highhum1","highwind2",982,1435,2417
"73","season1",0,3,"nonholiday","Mon","workingday","weather1","lowtemp2",0.332,"lowhum1","lowwind1",359,1687,2046
"74","season1",0,3,"nonholiday","Tue","workingday","weather2","lowtemp2",0.318178,"highhum2","highwind1",289,1767,2056
"75","season1",0,3,"nonholiday","Wed","workingday","weather2","lowtemp1",0.36693,"highhum2","highwind1",321,1871,2192
"76","season1",0,3,"nonholiday","Thu","workingday","weather1","lowtemp1",0.410333,"highhum1","highwind1",424,2320,2744
"77","season1",0,3,"nonholiday","Fri","workingday","weather1","hightemp1",0.527009,"highhum1","highwind1",884,2355,3239
"78","season1",0,3,"nonholiday","Sat","nonworkingday","weather1","lowtemp1",0.466525,"lowhum1","highwind2",1424,1693,3117
"79","season1",0,3,"nonholiday","Sun","nonworkingday","weather1","lowtemp2",0.32575,"lowhum1","highwind1",1047,1424,2471
"80","season2",0,3,"nonholiday","Mon","workingday","weather2","lowtemp1",0.409735,"highhum2","highwind2",401,1676,2077
"81","season2",0,3,"nonholiday","Tue","workingday","weather1","lowtemp1",0.440642,"highhum1","highwind1",460,2243,2703
"82","season2",0,3,"nonholiday","Wed","workingday","weather2","lowtemp1",0.337939,"highhum2","highwind2",203,1918,2121
"83","season2",0,3,"nonholiday","Thu","workingday","weather2","lowtemp2",0.270833,"highhum2","highwind2",166,1699,1865
"84","season2",0,3,"nonholiday","Fri","workingday","weather1","lowtemp2",0.256312,"lowhum1","highwind1",300,1910,2210
"85","season2",0,3,"nonholiday","Sat","nonworkingday","weather1","lowtemp2",0.257571,"lowhum1","highwind1",981,1515,2496
"86","season2",0,3,"nonholiday","Sun","nonworkingday","weather2","lowtemp2",0.250339,"lowhum1","highwind1",472,1221,1693
"87","season2",0,3,"nonholiday","Mon","workingday","weather1","lowtemp2",0.257574,"lowhum2","highwind1",222,1806,2028
"88","season2",0,3,"nonholiday","Tue","workingday","weather1","lowtemp2",0.292908,"lowhum2","highwind1",317,2108,2425
"89","season2",0,3,"nonholiday","Wed","workingday","weather2","lowtemp2",0.29735,"highhum1","lowwind1",168,1368,1536
"90","season2",0,3,"nonholiday","Thu","workingday","weather3","lowtemp2",0.257575,NA,"highwind1",179,1506,1685
"91","season2",0,4,"nonholiday","Fri","workingday","weather2","lowtemp2",0.283454,"highhum2","highwind2",307,1920,2227
"92","season2",0,4,"nonholiday","Sat","nonworkingday","weather2","lowtemp2",0.315637,"highhum1","highwind1",898,1354,2252
"93","season2",0,4,"nonholiday","Sun","nonworkingday","weather1","lowtemp1",0.378767,"lowhum1","highwind1",1651,1598,3249
"94","season2",0,4,"nonholiday","Mon","workingday","weather1","hightemp1",0.542929,"lowhum1","highwind2",734,2381,3115
"95","season2",0,4,"nonholiday","Tue","workingday","weather2","lowtemp1",0.39835,"highhum1","highwind2",167,1628,1795
"96","season2",0,4,"nonholiday","Wed","workingday","weather1","lowtemp1",0.387608,"lowhum1","highwind2",413,2395,2808
"97","season2",0,4,"nonholiday","Thu","workingday","weather1","lowtemp1",0.433696,"highhum1","lowwind1",571,2570,3141
"98","season2",0,4,"nonholiday","Fri","workingday","weather2","lowtemp2",0.324479,"highhum2","highwind1",172,1299,1471
"99","season2",0,4,"nonholiday","Sat","nonworkingday","weather2","lowtemp1",0.341529,NA,"lowwind2",879,1576,2455
"100","season2",0,4,"nonholiday","Sun","nonworkingday","weather2","lowtemp1",0.426737,"highhum2","lowwind1",1188,1707,2895
"101","season2",0,4,"nonholiday","Mon","workingday","weather2","hightemp1",0.565217,"highhum2","highwind2",855,2493,3348
"102","season2",0,4,"nonholiday","Tue","workingday","weather2","hightemp1",0.493054,"highhum2","highwind2",257,1777,2034
"103","season2",0,4,"nonholiday","Wed","workingday","weather2","lowtemp1",0.417283,"highhum2","highwind2",209,1953,2162
"104","season2",0,4,"nonholiday","Thu","workingday","weather1","lowtemp1",0.462742,"highhum1","lowwind2",529,2738,3267
"105","season2",0,4,"holiday","Fri","nonworkingday","weather1","lowtemp1",0.441913,"highhum2","highwind1",642,2484,3126
"106","season2",0,4,"nonholiday","Sat","nonworkingday","weather3","lowtemp1",0.425492,NA,"highwind2",121,674,795
"107","season2",0,4,"nonholiday","Sun","nonworkingday","weather1","lowtemp1",0.445696,"lowhum1","highwind2",1558,2186,3744
"108","season2",0,4,"nonholiday","Mon","workingday","weather1","hightemp1",0.503146,"highhum1","lowwind1",669,2760,3429
"109","season2",0,4,"nonholiday","Tue","workingday","weather2","hightemp1",0.489258,"highhum2","lowwind1",409,2795,3204
"110","season2",0,4,"nonholiday","Wed","workingday","weather1","hightemp1",0.564392,"highhum1","highwind2",613,3331,3944
"111","season2",0,4,"nonholiday","Thu","workingday","weather1","lowtemp1",0.453892,"lowhum1","highwind2",745,3444,4189
"112","season2",0,4,"nonholiday","Fri","workingday","weather2","lowtemp2",0.321954,"highhum2","highwind1",177,1506,1683
"113","season2",0,4,"nonholiday","Sat","nonworkingday","weather2","lowtemp1",0.450121,NA,"highwind1",1462,2574,4036
"114","season2",0,4,"nonholiday","Sun","nonworkingday","weather2","hightemp1",0.551763,"highhum2","highwind1",1710,2481,4191
"115","season2",0,4,"nonholiday","Mon","workingday","weather1","hightemp1",0.5745,"highhum2","highwind1",773,3300,4073
"116","season2",0,4,"nonholiday","Tue","workingday","weather1","hightemp1",0.594083,"highhum2","highwind2",678,3722,4400
"117","season2",0,4,"nonholiday","Wed","workingday","weather2","hightemp1",0.575142,"highhum2","highwind2",547,3325,3872
"118","season2",0,4,"nonholiday","Thu","workingday","weather2","hightemp1",0.578929,"highhum2","highwind2",569,3489,4058
"119","season2",0,4,"nonholiday","Fri","workingday","weather1","hightemp1",0.497463,"lowhum1","highwind2",878,3717,4595
"120","season2",0,4,"nonholiday","Sat","nonworkingday","weather1","lowtemp1",0.464021,"highhum1","highwind2",1965,3347,5312
"121","season2",0,5,"nonholiday","Sun","nonworkingday","weather2","lowtemp1",0.448204,"highhum2","lowwind2",1138,2213,3351
"122","season2",0,5,"nonholiday","Mon","workingday","weather2","hightemp1",0.532833,"highhum2","highwind1",847,3554,4401
"123","season2",0,5,"nonholiday","Tue","workingday","weather2","hightemp1",0.582079,"highhum2","highwind2",603,3848,4451
"124","season2",0,5,"nonholiday","Wed","workingday","weather2","lowtemp1",0.40465,"highhum2","highwind2",255,2378,2633
"125","season2",0,5,"nonholiday","Thu","workingday","weather1","lowtemp1",0.441917,"lowhum1","highwind2",614,3819,4433
"126","season2",0,5,"nonholiday","Fri","workingday","weather1","lowtemp1",0.474117,"highhum1","highwind1",894,3714,4608
"127","season2",0,5,"nonholiday","Sat","nonworkingday","weather1","hightemp1",0.512621,"highhum1","lowwind1",1612,3102,4714
"128","season2",0,5,"nonholiday","Sun","nonworkingday","weather1","hightemp1",0.518933,"highhum1","lowwind2",1401,2932,4333
"129","season2",0,5,"nonholiday","Mon","workingday","weather1","hightemp1",0.525246,"highhum1","lowwind1",664,3698,4362
"130","season2",0,5,"nonholiday","Tue","workingday","weather1","hightemp1",0.522721,"lowhum1","lowwind2",694,4109,4803
"131","season2",0,5,"nonholiday","Wed","workingday","weather1","hightemp1",0.5284,"highhum1","lowwind2",550,3632,4182
"132","season2",0,5,"nonholiday","Thu","workingday","weather1","hightemp1",0.523363,"highhum2","highwind1",695,4169,4864
"133","season2",0,5,"nonholiday","Fri","workingday","weather2","hightemp1",0.4943,NA,"lowwind1",692,3413,4105
"134","season2",0,5,"nonholiday","Sat","nonworkingday","weather2","hightemp1",0.500629,NA,"lowwind1",902,2507,3409
"135","season2",0,5,"nonholiday","Sun","nonworkingday","weather2","hightemp1",0.536,NA,"lowwind1",1582,2971,4553
"136","season2",0,5,"nonholiday","Mon","workingday","weather1","hightemp1",0.550512,"highhum2","lowwind2",773,3185,3958
"137","season2",0,5,"nonholiday","Tue","workingday","weather2","hightemp1",0.538529,"highhum2","highwind2",678,3445,4123
"138","season2",0,5,"nonholiday","Wed","workingday","weather2","hightemp1",0.527158,NA,"highwind1",536,3319,3855
"139","season2",0,5,"nonholiday","Thu","workingday","weather2","hightemp1",0.510742,"highhum2","lowwind2",735,3840,4575
"140","season2",0,5,"nonholiday","Fri","workingday","weather1","hightemp1",0.529042,"highhum2","lowwind2",909,4008,4917
"141","season2",0,5,"nonholiday","Sat","nonworkingday","weather1","hightemp1",0.571975,"highhum1","lowwind2",2258,3547,5805
"142","season2",0,5,"nonholiday","Sun","nonworkingday","weather1","hightemp1",0.5745,"highhum2","lowwind1",1576,3084,4660
"143","season2",0,5,"nonholiday","Mon","workingday","weather2","hightemp1",0.590296,"highhum2","highwind2",836,3438,4274
"144","season2",0,5,"nonholiday","Tue","workingday","weather2","hightemp2",0.604813,"highhum2","highwind1",659,3833,4492
"145","season2",0,5,"nonholiday","Wed","workingday","weather1","hightemp2",0.615542,"highhum2","lowwind1",740,4238,4978
"146","season2",0,5,"nonholiday","Thu","workingday","weather1","hightemp2",0.654688,"highhum2","highwind1",758,3919,4677
"147","season2",0,5,"nonholiday","Fri","workingday","weather1","hightemp2",0.637008,"highhum1","highwind2",871,3808,4679
"148","season2",0,5,"nonholiday","Sat","nonworkingday","weather1","hightemp2",0.612379,"highhum2","highwind1",2001,2757,4758
"149","season2",0,5,"nonholiday","Sun","nonworkingday","weather1","hightemp2",0.61555,"highhum2","highwind1",2355,2433,4788
"150","season2",0,5,"holiday","Mon","nonworkingday","weather1","hightemp2",0.671092,"highhum2","lowwind2",1549,2549,4098
"151","season2",0,5,"nonholiday","Tue","workingday","weather1","hightemp2",0.725383,"highhum1","lowwind2",673,3309,3982
"152","season2",0,6,"nonholiday","Wed","workingday","weather2","hightemp2",0.720967,"highhum2","highwind1",513,3461,3974
"153","season2",0,6,"nonholiday","Thu","workingday","weather1","hightemp2",0.643942,"lowhum2","highwind2",736,4232,4968
"154","season2",0,6,"nonholiday","Fri","workingday","weather1","hightemp1",0.587133,"lowhum1","highwind2",898,4414,5312
"155","season2",0,6,"nonholiday","Sat","nonworkingday","weather1","hightemp1",0.594696,"lowhum1","lowwind2",1869,3473,5342
"156","season2",0,6,"nonholiday","Sun","nonworkingday","weather2","hightemp1",0.616804,"highhum1","lowwind1",1685,3221,4906
"157","season2",0,6,"nonholiday","Mon","workingday","weather1","hightemp2",0.621858,"highhum1","lowwind2",673,3875,4548
"158","season2",0,6,"nonholiday","Tue","workingday","weather1","hightemp2",0.65595,"highhum1","highwind1",763,4070,4833
"159","season2",0,6,"nonholiday","Wed","workingday","weather1","hightemp2",0.727279,"highhum1","lowwind1",676,3725,4401
"160","season2",0,6,"nonholiday","Thu","workingday","weather2","hightemp2",0.757579,"highhum1","lowwind1",563,3352,3915
"161","season2",0,6,"nonholiday","Fri","workingday","weather1","hightemp2",0.703292,"highhum1","lowwind1",815,3771,4586
"162","season2",0,6,"nonholiday","Sat","nonworkingday","weather1","hightemp2",0.678038,"highhum1","lowwind1",1729,3237,4966
"163","season2",0,6,"nonholiday","Sun","nonworkingday","weather1","hightemp2",0.643325,"highhum2","lowwind1",1467,2993,4460
"164","season2",0,6,"nonholiday","Mon","workingday","weather1","hightemp1",0.601654,"lowhum1","highwind2",863,4157,5020
"165","season2",0,6,"nonholiday","Tue","workingday","weather1","hightemp1",0.591546,"highhum1","highwind2",727,4164,4891
"166","season2",0,6,"nonholiday","Wed","workingday","weather1","hightemp1",0.587754,"lowhum1","lowwind1",769,4411,5180
"167","season2",0,6,"nonholiday","Thu","workingday","weather2","hightemp1",0.595346,"highhum2","highwind1",545,3222,3767
"168","season2",0,6,"nonholiday","Fri","workingday","weather1","hightemp1",0.600383,"highhum2","lowwind1",863,3981,4844
"169","season2",0,6,"nonholiday","Sat","nonworkingday","weather1","hightemp2",0.643954,"highhum2","lowwind2",1807,3312,5119
"170","season2",0,6,"nonholiday","Sun","nonworkingday","weather2","hightemp2",0.645846,"highhum2","lowwind2",1639,3105,4744
"171","season2",0,6,"nonholiday","Mon","workingday","weather2","hightemp1",0.595346,"highhum2","lowwind1",699,3311,4010
"172","season3",0,6,"nonholiday","Tue","workingday","weather2","hightemp2",0.637646,"highhum2","lowwind1",774,4061,4835
"173","season3",0,6,"nonholiday","Wed","workingday","weather1","hightemp2",0.693829,"highhum2","lowwind1",661,3846,4507
"174","season3",0,6,"nonholiday","Thu","workingday","weather2","hightemp2",0.693833,"highhum2","highwind2",746,4044,4790
"175","season3",0,6,"nonholiday","Fri","workingday","weather1","hightemp2",0.656583,"highhum1","highwind1",969,4022,4991
"176","season3",0,6,"nonholiday","Sat","nonworkingday","weather1","hightemp2",0.643313,"lowhum1","highwind1",1782,3420,5202
"177","season3",0,6,"nonholiday","Sun","nonworkingday","weather1","hightemp2",0.637629,"highhum1","lowwind2",1920,3385,5305
"178","season3",0,6,"nonholiday","Mon","workingday","weather2","hightemp2",0.637004,"highhum2","lowwind2",854,3854,4708
"179","season3",0,6,"nonholiday","Tue","workingday","weather1","hightemp2",0.692558,"highhum1","lowwind1",732,3916,4648
"180","season3",0,6,"nonholiday","Wed","workingday","weather1","hightemp2",0.654688,"lowhum1","highwind2",848,4377,5225
"181","season3",0,6,"nonholiday","Thu","workingday","weather1","hightemp2",0.637008,"lowhum1","highwind1",1027,4488,5515
"182","season3",0,7,"nonholiday","Fri","workingday","weather1","hightemp2",0.652162,"lowhum1","lowwind2",1246,4116,5362
"183","season3",0,7,"nonholiday","Sat","nonworkingday","weather1","hightemp2",0.667308,"lowhum1","lowwind2",2204,2915,5119
"184","season3",0,7,"nonholiday","Sun","nonworkingday","weather2","hightemp2",0.668575,"highhum2","highwind1",2282,2367,4649
"185","season3",0,7,"holiday","Mon","nonworkingday","weather2","hightemp2",0.665417,"highhum1","lowwind2",3065,2978,6043
"186","season3",0,7,"nonholiday","Tue","workingday","weather1","hightemp2",0.696338,"highhum1","lowwind2",1031,3634,4665
"187","season3",0,7,"nonholiday","Wed","workingday","weather1","hightemp2",0.685633,"highhum2","lowwind1",784,3845,4629
"188","season3",0,7,"nonholiday","Thu","workingday","weather1","hightemp2",0.686871,"highhum1","lowwind1",754,3838,4592
"189","season3",0,7,"nonholiday","Fri","workingday","weather2","hightemp2",0.670483,"highhum2","highwind1",692,3348,4040
"190","season3",0,7,"nonholiday","Sat","nonworkingday","weather1","hightemp2",0.664158,"highhum1","lowwind1",1988,3348,5336
"191","season3",0,7,"nonholiday","Sun","nonworkingday","weather1","hightemp2",0.690025,"highhum1","highwind1",1743,3138,4881
"192","season3",0,7,"nonholiday","Mon","workingday","weather1","hightemp2",0.729804,"highhum1","highwind2",723,3363,4086
"193","season3",0,7,"nonholiday","Tue","workingday","weather1","hightemp2",0.739275,"highhum1","highwind1",662,3596,4258
"194","season3",0,7,"nonholiday","Wed","workingday","weather1","hightemp2",0.689404,"highhum1","lowwind1",748,3594,4342
"195","season3",0,7,"nonholiday","Thu","workingday","weather1","hightemp2",0.635104,"lowhum1","highwind2",888,4196,5084
"196","season3",0,7,"nonholiday","Fri","workingday","weather1","hightemp2",0.624371,"highhum1","highwind1",1318,4220,5538
"197","season3",0,7,"nonholiday","Sat","nonworkingday","weather1","hightemp2",0.638263,"highhum1","highwind1",2418,3505,5923
"198","season3",0,7,"nonholiday","Sun","nonworkingday","weather1","hightemp2",0.669833,"highhum1","highwind2",2006,3296,5302
"199","season3",0,7,"nonholiday","Mon","workingday","weather1","hightemp2",0.703925,"highhum1","highwind1",841,3617,4458
"200","season3",0,7,"nonholiday","Tue","workingday","weather1","hightemp2",0.747479,"highhum1","lowwind2",752,3789,4541
"201","season3",0,7,"nonholiday","Wed","workingday","weather1","hightemp2",0.74685,"highhum2","lowwind2",644,3688,4332
"202","season3",0,7,"nonholiday","Thu","workingday","weather2","hightemp2",0.826371,"highhum2","highwind1",632,3152,3784
"203","season3",0,7,"nonholiday","Fri","workingday","weather1","hightemp2",0.840896,"highhum1","lowwind2",562,2825,3387
"204","season3",0,7,"nonholiday","Sat","nonworkingday","weather1","hightemp2",0.804287,"highhum1","lowwind2",987,2298,3285
"205","season3",0,7,"nonholiday","Sun","nonworkingday","weather1","hightemp2",0.794829,"highhum1","lowwind1",1050,2556,3606
"206","season3",0,7,"nonholiday","Mon","workingday","weather1","hightemp2",0.720958,"highhum2","lowwind2",568,3272,3840
"207","season3",0,7,"nonholiday","Tue","workingday","weather1","hightemp2",0.696979,"highhum1","highwind1",750,3840,4590
"208","season3",0,7,"nonholiday","Wed","workingday","weather1","hightemp2",0.690667,"lowhum1","highwind1",755,3901,4656
"209","season3",0,7,"nonholiday","Thu","workingday","weather1","hightemp2",0.7399,"highhum1","lowwind1",606,3784,4390
"210","season3",0,7,"nonholiday","Fri","workingday","weather1","hightemp2",0.785967,"highhum1","lowwind1",670,3176,3846
"211","season3",0,7,"nonholiday","Sat","nonworkingday","weather1","hightemp2",0.728537,"lowhum1","lowwind1",1559,2916,4475
"212","season3",0,7,"nonholiday","Sun","nonworkingday","weather1","hightemp2",0.729796,"lowhum1","lowwind1",1524,2778,4302
"213","season3",0,8,"nonholiday","Mon","workingday","weather1","hightemp2",0.703292,"highhum1","lowwind1",729,3537,4266
"214","season3",0,8,"nonholiday","Tue","workingday","weather1","hightemp2",0.707071,"lowhum1","highwind1",801,4044,4845
"215","season3",0,8,"nonholiday","Wed","workingday","weather2","hightemp2",0.679937,"highhum2","lowwind1",467,3107,3574
"216","season3",0,8,"nonholiday","Thu","workingday","weather2","hightemp2",0.664788,"highhum2","highwind1",799,3777,4576
"217","season3",0,8,"nonholiday","Fri","workingday","weather1","hightemp2",0.656567,"highhum1","highwind1",1023,3843,4866
"218","season3",0,8,"nonholiday","Sat","nonworkingday","weather2","hightemp2",0.676154,"highhum2","highwind1",1521,2773,4294
"219","season3",0,8,"nonholiday","Sun","nonworkingday","weather1","hightemp2",0.715292,"highhum2","highwind1",1298,2487,3785
"220","season3",0,8,"nonholiday","Mon","workingday","weather1","hightemp2",0.703283,"highhum1","highwind1",846,3480,4326
"221","season3",0,8,"nonholiday","Tue","workingday","weather1","hightemp2",0.724121,"highhum1","lowwind1",907,3695,4602
"222","season3",0,8,"nonholiday","Wed","workingday","weather1","hightemp2",0.684983,"lowhum1","highwind1",884,3896,4780
"223","season3",0,8,"nonholiday","Thu","workingday","weather1","hightemp2",0.651521,"lowhum1","lowwind1",812,3980,4792
"224","season3",0,8,"nonholiday","Fri","workingday","weather1","hightemp2",0.654042,"lowhum1","lowwind2",1051,3854,4905
"225","season3",0,8,"nonholiday","Sat","nonworkingday","weather2","hightemp2",0.645858,"highhum2","highwind1",1504,2646,4150
"226","season3",0,8,"nonholiday","Sun","nonworkingday","weather2","hightemp2",0.624388,"highhum2","highwind1",1338,2482,3820
"227","season3",0,8,"nonholiday","Mon","workingday","weather1","hightemp2",0.616167,"highhum2","highwind1",775,3563,4338
